codigo;nombre_cruce;tramo;sentido;desde;hasta;latitud;longitud
2023_283;Calle cerro negro;Entre gandia y jativa;Gandia;11/02/2023;17/02/2023;40.398.019;-3.670.395
2023_284;calle cerro negro;Entre gandia y jativa;Jativa;11/02/2023;17/02/2023;40.398.427;-3.670.189
2023_418;Calle estafeta;Entre mezquita y taconera;Mezquita;01/02/2023;07/02/2023;40.373.115;-3.692.294
2023_419;Calle estafeta;Entre mezquita y taconera;Taconera;01/02/2023;07/02/2023;40.373.356;-3.692.440
2023_771;avenida orovilla;Entre dulzura y alianza;Dulzura;28/01/2023;03/02/2023;40.357.738;-3.689.529
2023_772;avenida orovilla;Entre dulzura y alianza;Alianza;28/01/2023;03/02/2023;40.358.183;-3.689.628
2023_875;Avenida Rafael Ybarra;Entre Leiza y Deva;Leiza;02/02/2023;08/02/2023;40.370.271;-3.712.285
2023_876;Avenida Rafael Ybarra;Entre Leiza y Deva;Deva;02/02/2023;08/02/2023;40.370.639;-3.712.413
2023_917;Avda los rosales;Entre zafiro y A4;Zafiro;25/01/2023;31/01/2023;40.348.737;-3.675.202
2023_939;calle san jenaro;Entre alcocer y arroyo bueno;Alcocer;26/01/2023;01/02/2023;40.349.043;-3.704.318
2023_p257;Avda san luis;Entre calle mesena y Eladio Lopez;Calle mesena;18/02/2023;24/02/2023;40.474.599;-3.664.430
2023_p257;Avda san luis;Entre calle mesena y Eladio Lopez;Calle Eladio Lopez;18/02/2023;24/02/2023;40.474.677;-3.665.095
2023_9; C. AGUSTIN DE FOXA;Pº Castellana-Enrique Larreta;Pº Castellana;28/02/2023;06/03/2023;40.468.540;-3.687.340
2023_10;Tunel C. AGUSTIN DE FOXA;San Benito-Enrique Larreta;Mauricio Legendre;28/02/2023;06/03/2023;40.468.540;-3.687.340
2023_13;C. ALBASANZ;Santa Leonor-Alfonso Gomez;Santa Leonor;20/06/2023;26/06/2023;40.437.180;-3.628.460
2023_14;C. ALBASANZ;Santa Leonor-Alfonso Gomez;Alfonso Gomez;20/06/2023;26/06/2023;40.437.180;-3.628.460
2023_17; Av. ALBUFERA;M-30-Avenida del Monte Igueldo;Avenida del Monte Igueldo;14/02/2023;21/02/2023;40.397.650;-3.668.140
2023_18; Av. ALBUFERA;M-30-Avenida del Monte Igueldo;M-30;14/02/2023;21/02/2023;40.397.630;-3.668.100
2023_19; Av. ALBUFERA;M-40-Avenida de La Democracia;Avenida de La Democracia;10/03/2023;16/03/2023;40.383.850;-3.632.200
2023_20; Av. ALBUFERA;Avenida Rafael Alberti-M-40;M-40;10/03/2023;16/03/2023;40.385.990;-3.637.280
2023_23; C. ALCALA;Alcalde Luis Silvela-Avenida septima;Alcalde Luis Silvela;07/09/2023;13/09/2023;40.449.840;-3.598.690
2023_24; C. ALCALA;Alcalde Luis Silvela-Avenida septima;Avenida septima;07/09/2023;13/09/2023;40.449.800;-3.598.690
2023_27; Av. ALBUFERA;Teniente Munoz Diaz-Avenida de Buenos Aires;Avenida de Buenos Aires;21/06/2023;27/06/2023;40.391.520;-3.654.790
2023_28; Av. ALBUFERA;Teniente Munoz Diaz-Avenida de Buenos Aires;Teniente Munoz Diaz;21/06/2023;27/06/2023;40.391.590;-3.654.880
2023_37; C. ALCALDE GARRIDO JUARISTI;Arroyo Media Legua-Eje O'Donnell;Eje O'Donnell;21/09/2023;27/09/2023;40.414.130;-3.651.080
2023_38; C. ALCALDE GARRIDO JUARISTI;Arroyo Media Legua-Eje O'Donnell;Arroyo Media Legua;21/09/2023;27/09/2023;40.414.130;-3.651.190
2023_45;C. ALDONZA LORENZO;C Cueva De Montesinos - Ronda Del Caballero De La Mancha;Ronda Del Caballero De La Mancha;18/01/2023;24/01/2023;40.499.230;-3.690.120
2023_46;C. ALDONZA LORENZO;C Cueva De Montesinos - Ronda Del Caballero De La Mancha;C Cueva De Montesinos;18/01/2023;24/01/2023;40.499.231;-3.689.906
2023_64;C. ALTO DEL RETIRO;Cañada del santisimo-Acesso parking centro comercial;Acceso parking centro comercial;22/02/2023;28/02/2023;40.367.806;-3.589.642
2023_65;C. ALTO DEL RETIRO;Cañada del Santísimo-Acceso parking centro comercial;Cañada del Santísimo;22/02/2023;28/02/2023;40.369.193;-3.592.496
2023_66; C. AMPOSTA;Arcos de Jalon-Guadalajara;Arcos de Jalon;18/05/2023;24/05/2023;40.422.030;-3.618.280
2023_67; C. AMPOSTA;Guadalajara(AV)-Arcos de Jalon;Guadalajara (AV);18/05/2023;24/05/2023;40.421.970;-3.618.450
2023_70;C. ANA TERESA;Ardales - Pleyades;Pleyades;07/02/2023;13/02/2023;40.460.799;-3.783.353
2023_71;C. ANA TERESA;Ardales - Pleyades;Ardales;08/02/2023;14/02/2023;40.460.758;-3.783.388
2023_73; Av. ANDALUCIA;M-40-Lillo;M-40;27/01/2023;03/02/2023;40.362.580;-3.693.920
2023_74; Av. ANDALUCIA;M-40-Lillo;La Corte de Faraon;18/09/2023;24/09/2023;40.362.580;-3.693.920
2023_77;Pte. Puente Andalucía;Legazpi(Pz.)-Cadiz (Gt¦.);Legazpi(Pz.);07/02/2023;14/02/2023;40.389.420;-3.697.550
2023_78; Pte. Puente Andalucía;Legazpi(Pz.)-Cadiz (Gt¦.);Cadiz (Gt¦.);18/09/2023;24/09/2023;40.389.498;-3.697.613
2023_81;C. ANOETA;La Dolorosa - Alegria De La Huerta;La Dolorosa;26/01/2023;01/02/2023;40.352.699;-3.694.670
2023_82;C. ANOETA;La Dolorosa - Alegria De La Huerta;Alegria De La Huerta;26/01/2023;01/02/2023;40.352.816;-3.694.677
2023_83;ANTONIO GADES;ENTRE JOSE ANTONIO REBOLLEDO Y PALMA Y CARDENAL VICENTE ENRIQUE Y TARANCON;JOSE ANTONIO REBOLLEDO Y PALMA;14/09/2023;20/09/2023;40.367.253;-3.591.757
2023_84;ANTONIO GADES;ENTRE JOSE ANTONIO REBOLLEDO Y PALMA Y CARDENAL VICENTE ENRIQUE Y TARANCON;CARDENAL VICENTE ENRIQUE Y TARANCON;14/09/2023;20/09/2023;40.367.498;-3.591.567
2023_87;C. ANTONIO LOPEZ;Simon Gonzalez - Virgen De La Encina;Simon Gonzalez;03/02/2023;09/02/2023;40.378.660;-3.695.310
2023_88;C. ANTONIO LOPEZ;Cadiz (Gta) - Camino De Perales;Camino De Perales;08/02/2023;14/02/2023;40.386.978;-3.697.916
2023_89;C. ANTONIO LOPEZ;Cadiz (Gta) - Camino De Perales;Cadiz (Gta);08/02/2023;14/02/2023;40.386.915;-3.698.030
2023_90; C. AQUITANIA;Capri-Bulgaria;Bulgaria;17/07/2023;23/07/2023;40.418.217;-3.619.300
2023_92; Av. ARCENTALES;Plaza de Grecia-M40;Plaza de Grecia;08/06/2023;14/06/2023;40.434.280;-3.605.350
2023_93; Av. ARCENTALES;Plaza de Grecia-M40;M40;08/06/2023;14/06/2023;40.434.600;-3.605.480
2023_94; Av. ARCENTALES;Glorieta de Arcentales-San Romualdo;San Romualdo;09/06/2023;15/06/2023;40.433.420;-3.620.420
2023_95; Av. ARCENTALES;Glorieta de Arcentales-San Romualdo;Glorieta de Arcentales;09/06/2023;15/06/2023;40.433.420;-3.620.420
2023_96; Av. ARCENTALES;Avenida de Canillejas a Vicalvaro-Plaza de Grecia;Plaza de Grecia;09/06/2023;15/06/2023;40.434.780;-3.611.150
2023_97; Av. ARCENTALES;Avenida de Canillejas a Vicalvaro-Plaza de Grecia;Avenida de Canillejas a Vicalvaro;09/06/2023;15/06/2023;40.434.780;-3.611.150
2023_101;#¿NOMBRE?;Avenida de Séneca-Plaza del Cardenal Cisneros;Avenida de Séneca;08/02/2023;14/02/2023;40.438.350;-3.724.880
2023_102;Avenida DE LA MEMORIA (CENTRAL);Avenida de Séneca-Plaza del Cardenal Cisneros;Plaza del Cardenal Cisneros;08/02/2023;14/02/2023;40.438.533;-3.724.620
2023_108; C. ARROYO DE LA MEDIA LEGUA;Camino Vinateros-Avenida Doctor Garcia Tapia;Camino Vinateros;31/05/2023;06/06/2023;40.411.390;-3.655.000
2023_109; C. ARROYO DE LA MEDIA LEGUA;Camino Vinateros-Avenida Doctor Garcia Tapia;Avenida Doctor Garcia Tapia;31/05/2023;06/06/2023;40.411.540;-3.654.840
2023_110; C. ARROYO DE LA MEDIA LEGUA;Corregidor Alonso de Aguilar (Pz.)-Camino Vinateros;Corregidor Alonso de Aguilar (Pz.);30/05/2023;05/06/2023;40.407.990;-3.658.060
2023_111; C. ARROYO DE LA MEDIA LEGUA;Corregidor Alonso de Aguilar (Pz.)-Camino Vinateros;Camino Vinateros;30/05/2023;05/06/2023;40.407.990;-3.658.060
2023_112;AV. ARROYO DEL MONTE;C Del Valle De Pinares Llanos - C De La Senda Del Infante;C De La Senda Del Infante;25/01/2023;31/01/2023;40.488.070;-3.728.500
2023_113;AV. ARROYO DEL MONTE;C Del Valle De Pinares Llanos - C De La Senda Del Infante;C Del Valle De Pinares Llanos;25/01/2023;31/01/2023;40.488.070;-3.728.500
2023_114;C. ARROYO DEL OLIVAR;Alcalde Alfonso Vazquez - Sierra Carbonera;Alcalde Alfonso Vazquez;21/04/2023;27/04/2023;40.393.263;-3.664.231
2023_119;Lateral C. ARROYO FONTARRON;Plaza del Encuentro-Corregidor Juan Francisco de Lujan;Plaza del Encuentro;25/05/2023;31/05/2023;40.405.150;-3.651.500
2023_120;Lateral C. ARROYO FONTARRON;Plaza del Encuentro-Corregidor Juan Francisco de Lujan;Corregidor Juan Francisco de Lujan;25/05/2023;31/05/2023;40.405.150;-3.651.500
2023_121;Tunel C. ARROYO FONTARRON;Plaza del Encuentro-Corregidor Juan Francisco de Lujan;Corregidor Juan Francisco de Lujan;25/05/2023;31/05/2023;40.405.130;-3.651.530
2023_122;C. ARROYO FONTARRON;Pio Felipe - Fuente Carrantona;Fuente Carrantona;21/04/2023;27/04/2023;40.398.450;-3.645.800
2023_123;C. ARROYO FONTARRON;Pio Felipe - Fuente Carrantona;Pio Felipe;21/04/2023;27/04/2023;40.398.440;-3.645.850
2023_124;C. ARROYO POZUELO;Aragonito - Cinabrio;Aragonito;21/03/2023;27/03/2023;40.452.550;-3.719.847
2023_126;C. ARROYOFRESNO;Avenida Cardenal Herrera Oria - Los Gavilanes;Avenida Cardenal Herrera Oria;01/02/2023;07/02/2023;40.477.250;-3.741.183
2023_127;C. ARROYOFRESNO;Avenida Cardenal Herrera Oria - Los Gavilanes;Los Gavilanes;02/02/2023;08/02/2023;40.477.250;-3.741.183
2023_128; Paseo. ARTILLEROS;Calahorra-La Vicalvarada (Pz.);La Vicalvarada (Pz.);16/05/2023;22/05/2023;40.408.890;-3.609.720
2023_129; Paseo. ARTILLEROS;Calahorra-La Vicalvarada (Pz.);Calahorra;16/05/2023;22/05/2023;40.408.850;-3.609.650
2023_130; C. ARTURO SORIA;Alcala-Jose del Hierro;Jose del Hierro;22/06/2023;28/06/2023;40.439.280;-3.639.170
2023_131; C. ARTURO SORIA;Alcala-Jose del Hierro;Alcala;22/06/2023;28/06/2023;40.439.430;-3.639.390
2023_132; C. ARTURO SORIA;Pilar Cavero-Angelita Cavero;Angelita Cavero;01/09/2023;07/09/2023;40.445.760;-3.647.210
2023_133; C. ARTURO SORIA;Pilar Cavero-Angelita Cavero;Angelita Cavero;01/09/2023;07/09/2023;40.445.760;-3.647.210
2023_140;C. ARZOBISPO MORCILLO;Julio Palacios - Antonio Lopez Aguado;Julio Palacios;28/01/2023;03/02/2023;40.482.250;-3.698.282
2023_141;C. ARZOBISPO MORCILLO;Julio Palacios - Antonio Lopez Aguado;Antonio Lopez Aguado;28/01/2023;03/02/2023;40.482.340;-3.698.170
2023_142; C. ASCAO;Emilio Ferrari-Berastegui;Berastegui;15/06/2023;21/06/2023;40.429.750;-3.642.090
2023_143; C. ASCAO;Emilio Ferrari-Berastegui;Emilio Ferrari;15/06/2023;21/06/2023;40.429.750;-3.642.090
2023_144; Av. ASTURIAS;Via Limite-Sinesio Delgado;Sinesio Delgado;21/02/2023;27/02/2023;40.473.080;-3.700.560
2023_145; Av. ASTURIAS;Via Limite-Sinesio Delgado;Via Limite;21/02/2023;27/02/2023;40.473.080;-3.700.560
2023_147; Av. AURORA BOREAL;Dehesa de Vicalvaro-Minerva;Minerva;07/03/2023;13/03/2023;40.399.280;-3.604.420
2023_148; Av. AURORA BOREAL;Dehesa de Vicalvaro-Minerva;Dehesa de Vicalvaro;07/03/2023;13/03/2023;40.399.260;-3.604.370
2023_156; Av. BADAJOZ;Martinez Villergas-Torrelaguna;Torrelaguna;23/06/2023;29/06/2023;40.442.150;-3.654.200
2023_157; Av. BADAJOZ;Martinez Villergas-Torrelaguna;Martinez Villergas;23/06/2023;29/06/2023;40.442.150;-3.654.200
2023_162;CMO. BARRIAL, EL;Ana Teresa - Avenida De La Osa Mayor;Avenida De La Osa Mayor;03/02/2023;09/02/2023;40.460.657;-3.790.433
2023_168; Pte. BEGONA;Pedro Rico-San Modesto;San Modesto;17/01/2023;23/01/2023;40.483.730;-3.689.280
2023_169; Pte. BEGONA;Pedro Rico-San Modesto;Pedro Rico;17/01/2023;23/01/2023;40.483.730;-3.689.280
2023_170;C. BENJAMIN PALENCIA;Calle Pio Felipe - Calle Ramon Perez Ayala;Calle Pio Felipe;21/04/2023;27/04/2023;40.396.130;-3.653.100
2023_171;C. BENJAMIN PALENCIA;Calle Pio Felipe - Calle Ramon Perez Ayala;Calle Ramon Perez Ayala;21/04/2023;27/04/2023;40.396.172;-3.653.084
2023_172;C. BENJAMIN PALENCIA;El Bosco - Pablo Neruda;El Bosco;21/04/2023;27/04/2023;40.394.300;-3.642.800
2023_173;C. BENJAMIN PALENCIA;El Bosco - Pablo Neruda;Pablo Neruda;21/04/2023;27/04/2023;40.394.475;-3.642.984
2023_174;C. BERROCAL;Bario - Canchal;Canchal;21/01/2023;27/01/2023;40.347.320;-3.677.450
2023_175;C. BERROCAL;Bario - Canchal;Bario;21/01/2023;27/01/2023;40.347.356;-3.677.175
2023_179;AVDA BLAS DE LEZO;ENTRE M-45 Y MAYORAZGO DE DUARTE;MAYORAZGO DE DUARTE;14/09/2023;20/09/2023;40.409.472;-3.552.919
2023_184; C. BOSCO;Maruja Garcia Romero-Ramon Perez de Ayala;Ramon Perez de Ayala;30/05/2023;05/06/2023;40.403.060;-3.653.010
2023_185; C. BOSCO;Maruja Garcia Romero-Ramon Perez de Ayala;Maruja Garcia Romero;30/05/2023;05/06/2023;40.403.060;-3.653.010
2023_186;C. BOSCO, EL;Pio Felipe - Benjamin Palencia;Pio Felipe;21/04/2023;27/04/2023;40.396.890;-3.645.950
2023_187;C. BOSCO, EL;Pio Felipe - Benjamin Palencia;Benjamin Palencia;21/04/2023;27/04/2023;40.396.849;-3.646.002
2023_188; C. BOYER;Rivas-Cavilas;Cavilas;02/03/2023;08/03/2023;40.402.130;-3.591.320
2023_189; C. BOYER;Rivas-Cavilas;Rivas;02/03/2023;08/03/2023;40.402.150;-3.591.310
2023_196; Av. BUENOS AIRES;Sabrina-Avenida Miguel Hernandez;Sabrina;16/02/2023;23/02/2023;40.376.570;-3.654.150
2023_197; Av. BUENOS AIRES;Sabrina-Avenida Miguel Hernandez;Avenida Miguel Hernandez;16/02/2023;23/02/2023;40.376.570;-3.654.150
2023_198; Av. BURGOS;Bambu-Avenida San Luis;Bambu;15/02/2023;21/02/2023;40.479.900;-3.675.740
2023_199; Av. BURGOS;Bambu-Avenida San Luis;San Luis;15/02/2023;21/02/2023;40.479.720;-3.675.690
2023_200; Av. BURGOS;Buganvilla-Marques de Torroja;Buganvilla;15/02/2023;21/02/2023;40.470.510;-3.676.210
2023_201; Av. BURGOS;Buganvilla-Marques de Torroja;Marques de Torroja;15/02/2023;21/02/2023;40.470.690;-3.676.330
2023_208; C. CAMINO DE LOS VINATEROS;Arroyo Belincoso-Corregidor Senor de la Elipa;Corregidor Senor de la Elipa;21/09/2023;27/09/2023;40.410.290;-3.651.810
2023_209; C. CAMINO DE LOS VINATEROS;Arroyo Belincoso-Corregidor Senor de la Elipa;Arroyo Belincoso;21/09/2023;27/09/2023;40.410.290;-3.651.810
2023_212;AV CAMINO DE SANTIAGO;LATERAL, ENTRE PZA OBRADOIRO Y M-40;PLAZA OBRADOIRO;13/09/2023;19/09/2023;40.512.261;-3.664.699
2023_213;AV CAMINO DE SANTIAGO;ENTRE PZA OBRADOIRO Y M-40;PLAZA OBRADOIRO;13/09/2023;19/09/2023;40.512.573;-3.665.117
2023_214;AV CAMINO DE SANTIAGO;ENTRE PZA OBRADOIRO Y M-40;M40;13/09/2023;19/09/2023;40.512.890;-3.664.902
2023_215;AV CAMINO DE SANTIAGO;LATERAL, ENTRE PZA OBRADOIRO Y M-40;M-40;13/09/2023;19/09/2023;40.512.871;-3.665.293
2023_216; C. CAMPEZO;Zambrana-Laguardia;Zambrana;07/09/2023;13/09/2023;40.446.330;-3.582.460
2023_217; C. CAMPEZO;Zambrana-Laguardia;Laguardia;07/09/2023;13/09/2023;40.446.330;-3.582.460
2023_218;C. CANDILEJAS;Asamblea De Madrid  (Pza) - Avenida Parque Palomeras Bajas;Asamblea De Madrid  (Pza);13/04/2023;19/04/2023;40.381.869;-3.663.996
2023_219;calle candilejas;Entre asamblea de madrid y avda parque de palomeras bajas;avda parque de palomeras bajas;13/04/2023;19/04/2023;40.382.171;-3.663.891
2023_222; Av. CANILLEJAS A VICALVARO M-602;Aquitania-Versalles;Aquitania;17/05/2023;23/05/2023;40.420.640;-3.611.280
2023_223; Av. CANILLEJAS A VICALVARO M-602;Aquitania-Versalles;Versalles;17/05/2023;23/05/2023;40.420.640;-3.611.280
2023_224; Av. CANILLEJAS A VICALVARO M-602;M-40-Plaza de La Vicalvarada;Plaza de La Vicalvarada;17/05/2023;23/05/2023;40.410.520;-3.609.750
2023_225; Av. CANILLEJAS A VICALVARO M-602;M-40-Plaza de La Vicalvarada;M-40;17/05/2023;23/05/2023;40.410.500;-3.609.770
2023_226;Avenida CANTABRIA;San Severo-Bergantín;Bergantín;08/09/2023;14/09/2023;40.458.100;-3.584.220
2023_227;#¿NOMBRE?;San Severo-Bergantín;Bergantín;08/09/2023;14/09/2023;40.458.100;-3.584.220
