FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/07/2024;ES01;1-;194;126;97;101;232;816;1821;2087;2094;1580;1696;1788;
01/07/2024;ES01;1=;1960;2101;1812;1707;1677;1832;1756;1654;1106;740;580;450;
01/07/2024;ES01;2-;201;173;103;109;148;307;658;1141;1219;1029;1082;1209;
01/07/2024;ES01;2=;1253;1237;1268;1114;1074;1125;1057;885;640;533;512;400;
01/07/2024;ES02;1-;220;201;138;98;96;99;113;353;502;709;652;643;
01/07/2024;ES02;1=;621;563;472;458;499;442;431;478;450;399;354;288;
01/07/2024;ES02;2-;569;353;235;208;207;232;548;1201;1460;1424;1249;1242;
01/07/2024;ES02;2=;1324;1364;1242;1255;1149;1177;1215;1093;1086;945;823;653;
01/07/2024;ES03;1-;304;153;142;101;120;142;436;1972;2360;2160;1693;1582;
01/07/2024;ES03;1=;1509;1366;1459;1488;1461;1431;1511;1311;1054;946;622;416;
01/07/2024;ES03;2-;260;128;96;79;66;53;121;325;716;937;977;1104;
01/07/2024;ES03;2=;1189;1342;1441;1599;1036;1095;1240;1167;1075;849;544;382;
01/07/2024;ES04;1-;300;140;90;70;67;70;316;1124;1261;1202;967;950;
01/07/2024;ES04;1=;892;960;941;975;934;907;954;942;899;733;468;286;
01/07/2024;ES04;2-;133;88;48;40;35;56;106;311;577;576;632;577;
01/07/2024;ES04;2=;687;708;912;919;747;748;826;903;651;441;249;176;
01/07/2024;ES05;1-;1386;905;579;431;335;353;814;1281;1631;1865;1993;2281;
01/07/2024;ES05;1=;2458;2726;3046;3402;2920;2901;2999;2913;2505;2068;1612;1484;
01/07/2024;ES05;2-;594;372;261;170;179;325;1090;1852;1950;1882;1626;1652;
01/07/2024;ES05;2=;1576;1575;1497;1484;1591;1570;1605;1509;1344;1096;823;598;
01/07/2024;ES06;1-;47;38;26;25;71;224;644;832;837;795;767;769;
01/07/2024;ES06;1=;694;824;832;715;686;774;657;536;416;261;175;123;
01/07/2024;ES06;2-;39;33;32;29;40;161;393;707;619;570;599;593;
01/07/2024;ES06;2=;730;722;877;601;656;711;598;474;327;218;153;101;
01/07/2024;ES07;1-;530;265;200;143;212;676;3227;4432;3769;3086;2475;2231;
01/07/2024;ES07;1=;2098;2276;2753;2489;2122;2113;2411;2071;1926;1594;1113;606;
01/07/2024;ES07;2-;525;266;201;142;213;678;3267;4553;3892;3082;2471;2228;
01/07/2024;ES07;2=;2095;2282;2755;2468;2129;2105;2407;2071;1924;1586;1110;613;
01/07/2024;ES08;1-;506;433;383;357;293;341;414;602;769;837;703;825;
01/07/2024;ES08;1=;858;835;789;799;827;882;839;853;786;796;620;626;
01/07/2024;ES08;2-;529;482;365;327;286;348;451;708;862;856;845;842;
01/07/2024;ES08;2=;827;929;921;836;862;837;924;881;868;891;775;686;
01/07/2024;ES09;1-;411;420;338;331;271;271;379;613;752;728;756;849;
01/07/2024;ES09;1=;935;923;807;852;871;921;830;800;830;766;592;525;
01/07/2024;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2024;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2024;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2024;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2024;ES10;2-;238;140;106;87;91;169;396;533;479;527;453;461;
01/07/2024;ES10;2=;473;489;523;479;471;526;529;517;492;416;384;199;
01/07/2024;ES11;1-;1553;1085;323;120;101;150;700;4389;6137;5936;5282;3919;
01/07/2024;ES11;1=;3504;3444;3732;4461;4214;3452;4009;3933;3527;2820;2139;1398;
01/07/2024;ES11;2-;2176;1503;448;224;180;185;433;1683;3674;4262;4010;3485;
01/07/2024;ES11;2=;3616;3756;4661;5525;5526;4932;4978;4768;4167;3699;2943;2072;
01/07/2024;ES12;1-;348;234;233;228;444;1141;1666;1255;1828;2064;1969;2008;
01/07/2024;ES12;1=;1914;1363;1384;1921;1849;1776;1798;1822;1575;1234;893;688;
01/07/2024;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2024;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/07/2024;ES13;1-;203;143;118;96;145;403;1018;1338;1384;1298;1297;1321;
01/07/2024;ES13;1=;1300;1399;1309;1242;1349;1371;1365;1207;863;597;626;480;
01/07/2024;ES13;2-;260;192;138;113;148;417;1102;1541;1575;1449;1469;1550;
01/07/2024;ES13;2=;1650;1731;1573;1466;1481;1544;1499;1348;1051;694;622;500;
01/07/2024;ES14;1-;34;20;15;17;26;47;170;368;445;374;358;321;
01/07/2024;ES14;1=;343;316;300;318;338;284;270;235;176;117;111;63;
01/07/2024;ES14;2-;23;15;4;10;9;30;94;171;210;260;290;266;
01/07/2024;ES14;2=;291;305;250;255;260;235;247;198;153;82;84;50;
01/07/2024;ES15;1-;58;45;12;20;44;227;874;1117;910;716;693;798;
01/07/2024;ES15;1=;758;840;811;822;749;775;711;550;383;220;167;92;
01/07/2024;ES15;2-;78;23;23;11;30;90;547;889;1077;649;620;620;
01/07/2024;ES15;2=;680;842;731;620;624;603;559;493;319;198;169;201;
01/07/2024;ES16;1-;274;186;121;94;130;315;978;1266;1294;1215;1338;1429;
