FDIA;FEST;FSEN;HOR1;HOR2;HOR3;HOR4;HOR5;HOR6;HOR7;HOR8;HOR9;HOR10;HOR11;HOR12;
01/06/2024;ES01;1-;900;640;457;399;386;406;300;515;715;818;992;1232;
01/06/2024;ES01;1=;1602;1637;1126;1162;1350;1616;1678;1715;1383;1072;980;1193;
01/06/2024;ES01;2-;762;592;406;357;322;383;312;355;612;969;1176;1335;
01/06/2024;ES01;2=;1264;1098;868;957;1019;1088;977;1025;1063;852;779;914;
01/06/2024;ES02;1-;375;375;341;303;268;226;186;170;239;274;400;384;
01/06/2024;ES02;1=;466;471;430;449;429;428;440;455;419;439;337;65;
01/06/2024;ES02;2-;1088;1005;796;598;557;500;500;457;593;782;1027;1018;
01/06/2024;ES02;2=;1041;1175;1223;1078;1091;1083;1137;1041;1173;976;933;1111;
01/06/2024;ES03;1-;631;446;287;249;216;165;250;435;566;784;1147;1339;
01/06/2024;ES03;1=;1448;1478;1420;894;808;1001;1330;1332;1353;900;568;617;
01/06/2024;ES03;2-;487;340;247;164;131;115;153;166;285;381;480;657;
01/06/2024;ES03;2=;782;902;942;753;525;594;786;788;899;665;515;452;
01/06/2024;ES04;1-;505;504;328;226;202;181;218;201;291;462;620;751;
01/06/2024;ES04;1=;855;999;1031;686;678;883;1049;1089;1138;749;430;519;
01/06/2024;ES04;2-;337;276;160;123;105;93;102;139;201;328;498;600;
01/06/2024;ES04;2=;666;669;654;376;324;432;449;455;569;447;261;358;
01/06/2024;ES05;1-;2270;1793;1333;1168;964;822;1002;957;965;1360;1648;1906;
01/06/2024;ES05;1=;2109;2084;2380;2004;1852;2078;2044;2216;2201;1932;1542;1199;
01/06/2024;ES05;2-;815;575;430;322;293;301;504;598;817;1241;1364;1366;
01/06/2024;ES05;2=;1460;1575;1623;1129;1055;1427;1561;1603;1548;1087;750;805;
01/06/2024;ES06;1-;140;76;68;57;62;97;164;243;344;431;534;597;
01/06/2024;ES06;1=;683;542;340;368;445;498;538;626;333;213;356;342;
01/06/2024;ES06;2-;190;114;92;84;55;83;140;207;318;397;462;510;
01/06/2024;ES06;2=;544;495;291;301;394;394;449;529;262;164;294;358;
01/06/2024;ES07;1-;1190;836;537;412;308;325;531;668;982;1485;1810;2552;
01/06/2024;ES07;1=;2428;2419;2395;1688;1474;1762;1857;2056;2094;1424;1198;1412;
01/06/2024;ES07;2-;936;620;484;388;345;484;888;1154;1445;1898;1953;2273;
01/06/2024;ES07;2=;2472;2681;2376;1567;1673;2111;2688;2803;2482;1468;1193;1363;
01/06/2024;ES08;1-;694;774;651;669;510;463;461;471;536;621;795;808;
01/06/2024;ES08;1=;849;809;808;823;819;794;751;715;758;769;749;337;
01/06/2024;ES08;2-;841;745;739;722;633;530;514;552;589;669;783;829;
01/06/2024;ES08;2=;851;907;918;834;874;904;894;758;792;858;798;293;
01/06/2024;ES09;1-;758;678;620;611;523;462;436;440;538;640;840;708;
01/06/2024;ES09;1=;563;826;824;834;761;780;726;719;737;772;756;718;
01/06/2024;ES09;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES09;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES10;1-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES10;1=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES10;2-;341;225;191;128;130;146;177;285;315;435;502;530;
01/06/2024;ES10;2=;592;547;545;490;453;492;530;540;547;410;361;432;
01/06/2024;ES11;1-;1297;1228;830;483;290;245;446;1074;1855;2758;3612;3717;
01/06/2024;ES11;1=;4017;4288;4304;3717;2039;2205;2854;3190;3401;3144;1821;1248;
01/06/2024;ES11;2-;1622;1599;911;663;390;377;407;829;1121;1864;2603;3133;
01/06/2024;ES11;2=;3788;4059;4438;4319;3046;2895;3530;3953;4437;4166;2542;1747;
01/06/2024;ES12;1-;1488;1252;918;806;819;803;713;1003;1478;1695;1836;1817;
01/06/2024;ES12;1=;1813;1780;1672;1733;1936;1882;1916;1913;1587;1128;1331;1399;
01/06/2024;ES12;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES12;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES13;1-;921;749;542;500;357;375;317;505;691;851;989;1105;
01/06/2024;ES13;1=;1263;1201;825;846;947;1047;1031;1166;833;637;658;777;
01/06/2024;ES13;2-;1080;845;774;559;393;403;312;459;685;904;1187;1215;
01/06/2024;ES13;2=;1307;1310;998;932;1095;1195;1210;1329;1463;1188;1098;1049;
01/06/2024;ES14;1-;110;86;70;50;28;28;50;132;162;194;225;246;
01/06/2024;ES14;1=;273;234;192;150;158;184;215;221;155;127;158;130;
01/06/2024;ES14;2-;79;56;35;33;25;31;23;62;87;127;163;213;
01/06/2024;ES14;2=;219;213;132;117;143;152;146;191;144;97;96;140;
01/06/2024;ES15;1-;260;143;112;89;87;147;171;294;401;450;580;583;
01/06/2024;ES15;1=;627;536;336;356;352;425;461;543;390;202;351;491;
01/06/2024;ES15;2-;141;84;64;53;87;79;106;192;295;315;421;511;
01/06/2024;ES15;2=;592;537;304;277;352;467;618;548;246;153;241;220;
01/06/2024;ES16;1-;903;720;561;522;417;372;349;512;762;1014;1160;1265;
01/06/2024;ES16;1=;1379;1289;972;915;1141;1122;1183;1169;941;683;964;1303;
01/06/2024;ES16;2-;539;457;314;326;255;250;249;377;609;786;959;1070;
01/06/2024;ES16;2=;1197;1126;744;737;871;1023;1080;1110;772;547;732;779;
01/06/2024;ES17;1-;1274;1045;709;628;677;668;642;1024;1609;1947;2383;2881;
01/06/2024;ES17;1=;3575;3272;2484;2746;3023;3505;3327;3439;2287;1255;1770;1970;
01/06/2024;ES17;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES17;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES18;1-;199;203;139;112;87;94;115;191;341;446;574;612;
01/06/2024;ES18;1=;648;599;344;347;480;536;608;506;332;211;336;399;
01/06/2024;ES18;2-;454;334;213;149;144;114;97;146;367;605;800;843;
01/06/2024;ES18;2=;873;797;505;610;771;804;758;707;536;387;478;832;
01/06/2024;ES19;1-;507;371;352;263;261;300;290;356;556;657;760;777;
01/06/2024;ES19;1=;783;735;587;599;604;718;840;815;568;373;870;1354;
01/06/2024;ES19;2-;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES19;2=;0;0;0;0;0;0;0;0;0;0;0;0;
01/06/2024;ES20;1-;4863;0;3262;2144;1523;1341;1444;2554;3320;4888;6352;7188;
01/06/2024;ES20;1=;8379;9312;9853;9567;7017;6888;8035;8865;9143;9176;6304;4677;
01/06/2024;ES20;2-;4047;0;2715;1829;1336;1388;1954;3778;4822;6402;7710;7916;
01/06/2024;ES20;2=;8729;9479;9999;9545;6665;6512;8384;9425;9942;9079;5760;4035;
01/06/2024;ES21;1-;278;175;130;123;98;99;127;121;175;565;664;806;
01/06/2024;ES21;1=;829;775;390;429;612;599;806;918;547;278;658;720;
01/06/2024;ES21;2-;346;243;171;151;163;196;244;481;704;926;1119;1307;
01/06/2024;ES21;2=;1332;1083;576;581;928;1211;1383;1313;597;323;799;926;
01/06/2024;ES22;1-;634;510;395;258;264;263;333;360;489;590;768;903;
01/06/2024;ES22;1=;944;1031;882;793;721;810;897;908;917;699;508;566;
01/06/2024;ES22;2-;491;418;346;278;237;214;239;230;304;398;501;612;
01/06/2024;ES22;2=;689;644;616;555;446;512;605;649;586;516;427;504;
01/06/2024;ES23;1-;1359;1178;952;817;741;708;795;799;995;1273;1507;1880;
01/06/2024;ES23;1=;2136;1918;1945;1523;1359;1709;1863;1877;1818;1375;991;44;
01/06/2024;ES23;2-;1990;2031;1618;1414;1148;965;1051;841;852;1230;1445;1805;
01/06/2024;ES23;2=;1866;2004;2050;1838;1806;1905;1822;1818;1829;1645;1353;603;
01/06/2024;ES24;1-;427;380;328;220;182;144;145;147;177;305;394;539;
