Línea,Año,Tipo de transporte,Número anual de pasajeros,Expediciones por día laborable,Viajeros por día,Viajeros por expedición,Kilómetros anuales realizados
1,2015,Autobús urbano,178528,54,602,11.1481481481482,118657
2,2015,Autobús urbano,114924,21,469,22.3333333333333,65300
3,2015,Autobús urbano,158294,54,531,9.83333333333333,115102
5,2015,Autobús urbano,137064,40,578,14.45,107222
6,2015,Autobús urbano,147908,34,666,19.5882352941177,73306
9,2015,Autobús urbano,178264,75,750,10,82526
C10,2015,Autobús urbano,611909,66,2361,35.7727272727273,249754
C11,2015,Autobús urbano,565702,66,2240,33.9393939393939,259718
151,2015,Autobús interurbano,787769,101,2778,27.5049504950495,424421
152C,2015,Autobús interurbano,1021699,97,3666,37.7938144329897,484728
153,2015,Autobús interurbano,931888,104,3468,33.3461538461538,471068
154,2015,Autobús interurbano,361564,48,1398,29.125,352438
154C,2015,Autobús interurbano,1053051,94,3618,38.4893617021277,496170
155,2015,Autobús interurbano,634039,98,2436,24.8571428571429,261778
155B,2015,Autobús interurbano,571482,72,2092,29.0555555555556,255445
156,2015,Autobús interurbano,908522,101,2735,27.0792079207921,467804
157,2015,Autobús interurbano,474064,75,1764,23.52,353548
157C,2015,Autobús interurbano,270033,48,1079,22.4791666666667,190156
158,2015,Autobús interurbano,158207,32,607,18.96875,170575
159,2015,Autobús interurbano,501951,80,2146,26.825,222926
161,2015,Autobús interurbano,150358,25,541,21.64,167400
171,2015,Autobús interurbano,1156704,108,4126,38.2037037037037,834848
180,2015,Autobús interurbano,416040,67,1494,22.2985074626866,323052
827,2015,Autobús interurbano,1319750,103,4788,46.4854368932039,987316
827A,2015,Autobús interurbano,153533,54,604,11.1851851851852,92274
828,2015,Autobús interurbano,50532,12,224,18.6666666666667,67390
N101,2015,Autobús interurbano,87636,14,260,18.5714285714286,88438
N102,2015,Autobús interurbano,62334,14,159,11.3571428571429,83326
1,2016,Autobús urbano,194885,54,676,12.5185185185185,118979
2,2016,Autobús urbano,119118,21,525,25,64763
3,2016,Autobús urbano,176140,54,607,11.2407407407407,115427
5,2016,Autobús urbano,141811,40,617,15.425,106840
6,2016,Autobús urbano,162328,34,715,21.0294117647059,73030
9,2016,Autobús urbano,191683,75,783,10.44,81986
C10,2016,Autobús urbano,611909,66,2716,41.1515151515152,249728
C11,2016,Autobús urbano,703060,66,2487,37.6818181818182,259585
151,2016,Autobús interurbano,795089,101,2755,27.2772277227723,424669
152C,2016,Autobús interurbano,1041616,97,3763,38.7938144329897,485290
153,2016,Autobús interurbano,945434,104,3559,34.2211538461538,471039
154,2016,Autobús interurbano,359394,48,1386,28.875,353358
154C,2016,Autobús interurbano,1055045,94,3611,38.4148936170213,496297
155,2016,Autobús interurbano,613915,98,2300,23.469387755102,261850
155B,2016,Autobús interurbano,565502,72,1980,27.5,257118
156,2016,Autobús interurbano,971546,101,2839,28.1089108910891,468941
157,2016,Autobús interurbano,469366,75,1770,23.6,353721
157C,2016,Autobús interurbano,262591,48,1059,22.0625,188832
158,2016,Autobús interurbano,164334,32,625,19.53125,170692
159,2016,Autobús interurbano,481947,80,2069,25.8625,221420
161,2016,Autobús interurbano,154299,25,539,21.56,167814
171,2016,Autobús interurbano,1193295,108,4220,39.0740740740741,830838
180,2016,Autobús interurbano,462071,67,1658,24.7462686567164,324244
827,2016,Autobús interurbano,1395920,103,5174,50.2330097087379,990032
827A,2016,Autobús interurbano,155380,54,644,11.9259259259259,92629
828,2016,Autobús interurbano,51034,12,229,19.0833333333333,67534
N101,2016,Autobús interurbano,95049,14,254,18.1428571428571,88645
N102,2016,Autobús interurbano,64744,14,164,11.7142857142857,83521
1,2017,Autobús urbano,210068,49,759,15.4897959183673,118697
2,2017,Autobús urbano,113726,21,513,24.4285714285714,64500
3,2017,Autobús urbano,182811,49,680,13.8775510204082,115154
5,2017,Autobús urbano,143558,39,631,16.1794871794872,105154
6,2017,Autobús urbano,171278,68,781,11.4852941176471,72358
9,2017,Autobús urbano,208493,75,948,12.64,81491
C10,2017,Autobús urbano,748476,132,3063,23.2045454545455,248077
C11,2017,Autobús urbano,689388,132,2812,21.3030303030303,257868
151,2017,Autobús interurbano,818302,98,2966,30.265306122449,422173
152C,2017,Autobús interurbano,1079732,94,3867,41.1382978723404,482417
153,2017,Autobús interurbano,971962,101,3752,37.1485148514851,468093
154,2017,Autobús interurbano,355857,46,1448,31.4782608695652,350407
154C,2017,Autobús interurbano,1075089,92,3847,41.8152173913044,494106
155,2017,Autobús interurbano,627324,90,2482,27.5777777777778,259864
155B,2017,Autobús interurbano,598230,74,2241,30.2837837837838,263302
156,2017,Autobús interurbano,993155,99,3032,30.6262626262626,466
157,2017,Autobús interurbano,452383,73,1857,25.4383561643836,351739
157C,2017,Autobús interurbano,254736,46,1102,23.9565217391304,187971
158,2017,Autobús interurbano,172499,31,679,21.9032258064516,170300
159,2017,Autobús interurbano,487816,75,2000,26.6666666666667,219810
161,2017,Autobús interurbano,155931,24,541,22.5416666666667,166884
171,2017,Autobús interurbano,1242143,103,4453,43.2330097087379,829901
180,2017,Autobús interurbano,494588,67,1986,29.6417910447761,323491
827,2017,Autobús interurbano,1435925,113,6102,54,1010235
827A,2017,Autobús interurbano,152262,52,888,17.0769230769231,92173
828,2017,Autobús interurbano,57769,12,274,22.8333333333333,67226
N101,2017,Autobús interurbano,98674,14,250,17.8571428571429,88490
N102,2017,Autobús interurbano,65036,14,164,11.7142857142857,83326
